fid,UPRN,Site Name,Address,Easting,Northing,Ward,Lease Information,Site Function,Sub Function,Function Detail
"23","10023050075","Market Place Car Park, Deansgate","Market Place Car Park, Blackfriars Street,M3 2EQ","383713","398603",Deansgate,Leasehold,Non-Operational,Investment,Car Parking
"24","10023048298",Queen Street Car Park," Queen Street,M2 5HT","383691","398125",Deansgate,Ground Leasehold,Non-Operational,Investment,Car Parking
"25","10023048762",Car Park Junction Chepstow Street and Chepstow Street South,"Car Park Junction Chepstow Street, Chepstow Street South,M1 5ZZ","383927","397647",Deansgate,Occupied by the local authority,Operational,Other,Car Parking
"26","10023048917",Car Park at Junction of Nicholas Street and Faulkner Street,"Car Park Junction Nicholas Street, Faulkner Street,M1 4EF","384180","398008",Deansgate,Leasehold,Non-Operational,Investment,Car Parking
"27","10023049317",Hulme Street Car Park,"Hulme Street Car Park, Hulme Street,M1 5GF","383930","397248",Deansgate,Leasehold,Non-Operational,Investment,Car Parking
"28","10091146717",Land Adjacent To 104 Claremont Road,"Land Adjacent To 104, Claremont Road,","383876","395188",Whalley Range,Unavailable,Non-Operational,Investment,Car Parking
"29","10090668935",Land Between 86 North Street And Unit 1 Peel Lane,"Land Between 86 North Street And Unit 1, Peel Lane,M8 8RJ","384537","399851",Cheetham,Ground Leasehold,Non-Operational,Investment,Car Parking
"30","77123938",54 Red Bank,"54, Red Bank,M8 8QF","384354","399508",Cheetham,Leasehold,Non-Operational,Investment,Car Parking
"31","10023059036",Car Park On Left Side Roger Street,"Car Park On Left Side, Roger Street,M4 4EJ","384421","399410",Cheetham,Leasehold,Non-Operational,Investment,Car Parking
"32","10090668831",Roger Street Car Park,"Car Park, Roger Street,M4 4EN","384350","399434",Cheetham,Leasehold,Non-Operational,Investment,Car Parking
"33","10090669392",Land At Northern Junction Of Crabbe Street And Hargreaves Street,"Land Containing Building At Northern Junction Of Crabbe Street and, Hargreaves Street,M4 4EJ","384439","399457",Cheetham,Leasehold,Non-Operational,Investment,Car Parking
"34","10023047595",Car Park At Junction Of Oldham Road And Cable Street,"Car Park At The Junction Of, Oldham Road And Cable Street,M4 5ZZ","384638","398743",Piccadilly,Leasehold,Non-Operational,Investment,Car Parking
"35","10023048999",Car Park Rear Of 32 Mason Street,"Car Park Rear Of 32, Mason Street,M4 5EY","384648","398901",Piccadilly,Leasehold,Non-Operational,Investment,Car Parking
"36","10023049384",Euro Car Parks (uk) Ltd Goulden Street,"Euro Car Parks (uk) Ltd, Goulden Street,M4 5EY","384670","398922",Piccadilly,Leasehold,Non-Operational,Investment,Car Parking
